datetime,DATA_VALUE
1990-01-01,680.8
1990-01-01,681.5
1990-01-01,681.0
1990-01-01,680.9
1990-01-01,680.9
1990-01-01,681.3
1990-01-01,682.0
1990-01-01,682.5
1990-01-01,682.9
1990-01-01,683.3
1990-01-01,683.3
1990-01-01,683.0
1990-01-01,683.9
1990-01-01,683.8
1990-01-01,684.5
1990-01-01,685.2
1990-01-01,685.2
1990-01-01,685.7
1990-01-01,685.2
1990-01-01,685.1
1990-01-01,685.0
1990-01-01,685.6
1990-01-01,686.3
1990-02-01,686.8
1990-02-01,687.4
1990-02-01,688.1
1990-02-01,688.1
1990-02-01,688.0
1990-02-01,687.8
1990-02-01,688.3
1990-02-01,689.1
1990-02-01,689.0
1990-02-01,689.0
1990-02-01,688.9
1990-02-01,689.7
1990-02-01,689.6
1990-02-01,690.1
1990-02-01,690.6
1990-02-01,690.6
1990-02-01,690.4
1990-02-01,690.9
1990-02-01,690.8
1990-02-01,691.6
1990-02-01,692.4
1990-02-01,692.4
1990-02-01,693.3
1990-02-01,694.0
1990-03-01,694.0
1990-03-01,693.2
1990-03-01,693.2
1990-03-01,694.7
1990-03-01,695.6
1990-03-01,696.9
1990-03-01,698.1
1990-03-01,698.4
1990-03-01,698.7
1990-03-01,698.6
1990-03-01,698.2
1990-03-01,697.2
1990-03-01,696.3
1990-03-01,696.3
1990-03-01,697.0
1990-03-01,697.4
1990-03-01,697.8
1990-03-01,698.2
1990-03-01,699.5
1990-03-01,699.5
1990-03-01,701.0
1990-03-01,701.3
1990-03-01,700.3
1990-03-01,700.9
1990-03-01,702.1
1990-04-01,702.1
1990-04-01,703.8
1990-04-01,705.6
1990-04-01,706.2
1990-04-01,706.6
1990-04-01,706.6
1990-04-01,706.9
1990-04-01,707.0
1990-04-01,706.2
1990-04-01,706.4
1990-04-01,706.5
1990-04-01,706.5
1990-04-01,706.9
1990-04-01,707.1
1990-04-01,707.0
1990-04-01,705.7
1990-04-01,705.1
1990-04-01,705.1
1990-04-01,705.1
1990-04-01,705.6
1990-04-01,706.2
1990-04-01,706.6
1990-04-01,707.0
1990-04-01,707.0
1990-05-01,706.4
1990-05-01,705.8
1990-05-01,705.5
1990-05-01,705.8
1990-05-01,707.3
1990-05-01,707.9
1990-05-01,707.5
1990-05-01,707.6
1990-05-01,707.7
1990-05-01,707.7
1990-05-01,708.1
1990-05-01,708.5
1990-05-01,708.9
1990-05-01,709.2
1990-05-01,710.0
1990-05-01,710.0
1990-05-01,711.7
1990-05-01,712.0
1990-05-01,711.5
1990-05-01,711.8
1990-05-01,711.9
1990-05-01,711.9
1990-05-01,712.0
1990-05-01,712.5
1990-05-01,712.3
1990-06-01,711.3
